OBJECTID,CHANGE_NUM,MINOR_CHANGE_NUM,CURRENT_NEXT_CODE,IN_SERVICE_FLAG,ROUTE_ID,LOCAL_EXPRESS_CODE,ROUTE_NUM,SHAPE_Length
1,149,8,IN SERVICE,Y,100018,L,12,24605.0488407658
2,149,8,IN SERVICE,Y,100019,L,120,105886.385629369
3,149,8,IN SERVICE,Y,100020,L,121,106549.243470586
4,149,8,IN SERVICE,Y,100023,L,124,122918.818369963
5,149,8,IN SERVICE,Y,100024,L,125,74937.6089132717
6,149,8,IN SERVICE,Y,100026,L,128,144844.606678056
7,149,8,IN SERVICE,Y,100028,L,13,41053.4584225174
8,149,8,IN SERVICE,Y,100030,L,131,110789.819941723
9,149,8,IN SERVICE,Y,100031,L,132,119598.329668797
10,149,8,IN SERVICE,Y,100039,L,14,43034.5088197027
11,149,8,IN SERVICE,Y,100042,L,148,57156.3240219277
12,149,8,IN SERVICE,Y,100044,E,15,57315.3086836158
13,149,8,IN SERVICE,Y,100045,L,150,190382.845933473
14,149,8,IN SERVICE,Y,100048,L,153,69311.6448055092
15,149,8,IN SERVICE,Y,100059,L,167,205095.024199274
16,149,8,IN SERVICE,Y,100060,L,168,86950.9405523719
17,149,8,IN SERVICE,Y,100062,E,17,58050.253071727
18,149,8,IN SERVICE,Y,100068,L,177,247344.254404687
19,149,8,IN SERVICE,Y,100071,E,18,62035.0232150348
20,149,8,IN SERVICE,Y,100072,L,181,112737.988594348
21,149,8,IN SERVICE,Y,100073,L,182,56207.3098337441
22,149,8,IN SERVICE,Y,100074,L,183,80032.9514819644
23,149,8,IN SERVICE,Y,100078,L,187,56184.0723177374
24,149,8,IN SERVICE,Y,100082,L,190,215490.480641786
25,149,8,IN SERVICE,Y,100089,L,2,60706.729514358
26,149,8,IN SERVICE,Y,100099,L,208,177804.14354501
27,149,8,IN SERVICE,Y,100101,E,21,88030.6380742324
28,149,8,IN SERVICE,Y,100101,L,21,85230.5068572925
29,149,8,IN SERVICE,Y,100104,L,212,142247.919861331
30,149,8,IN SERVICE,Y,100106,L,214,190471.022647708
31,149,8,IN SERVICE,Y,100108,L,216,287227.304469919
32,149,8,IN SERVICE,Y,100109,L,217,171288.988425862
33,149,8,IN SERVICE,Y,100001,L,1,41571.6332333384
34,149,8,IN SERVICE,Y,100002,L,10,22996.2174466008
35,149,8,IN SERVICE,Y,100003,L,101,128201.168296967
36,149,8,IN SERVICE,Y,100004,L,105,35634.7866469424
37,149,8,IN SERVICE,Y,100005,L,106,100872.815728306
38,149,8,IN SERVICE,Y,100006,L,107,112173.783621714
39,149,8,IN SERVICE,Y,100009,L,11,40616.1131899993
40,149,8,IN SERVICE,Y,100011,L,111,239070.878814145
41,149,8,IN SERVICE,Y,100012,L,113,89482.3659712657
42,149,8,IN SERVICE,Y,100013,L,114,170833.623015622
43,149,8,IN SERVICE,Y,100016,L,118,105731.198376036
44,149,8,IN SERVICE,Y,100017,L,119,92710.2842192629
45,149,8,IN SERVICE,Y,100175,L,301,64694.8306064719
46,149,8,IN SERVICE,Y,100177,L,303,106546.588335947
47,149,8,IN SERVICE,Y,100178,L,304,59507.7449131576
48,149,8,IN SERVICE,Y,100184,L,31,71935.2112171267
49,149,8,IN SERVICE,Y,100186,L,311,221455.273534242
50,149,8,IN SERVICE,Y,100193,L,32,68275.0067077168
51,149,8,IN SERVICE,Y,100194,L,33,59658.0705238236
52,149,8,IN SERVICE,Y,100195,L,330,44914.3452986217
53,149,8,IN SERVICE,Y,100196,L,331,74584.5771397862
54,149,8,IN SERVICE,Y,100201,L,342,292527.436814887
55,149,8,IN SERVICE,Y,100202,L,345,51683.1437915548
56,149,8,IN SERVICE,Y,100203,L,346,59325.6132491382
57,149,8,IN SERVICE,Y,100204,L,347,71404.4374475442
58,149,8,IN SERVICE,Y,100205,L,348,77757.9623448145
59,149,8,IN SERVICE,Y,100210,L,36,60448.6699012268
60,149,8,IN SERVICE,Y,100214,E,372,98332.0259400644
61,149,8,IN SERVICE,Y,100219,L,4,62229.5550752519
62,149,8,IN SERVICE,Y,100223,L,43,53450.222037941
63,149,8,IN SERVICE,Y,100224,L,44,40743.5333302244
64,149,8,IN SERVICE,Y,100225,L,45,63466.3556610124
65,149,8,IN SERVICE,Y,100228,L,48,51750.2117108971
66,149,8,IN SERVICE,Y,100229,L,5,91657.9827341268
67,149,8,IN SERVICE,Y,100230,L,50,123956.359457256
68,149,8,IN SERVICE,Y,100232,E,522,111101.435758479
69,149,8,IN SERVICE,Y,100236,E,545,190439.128921066
70,149,8,IN SERVICE,Y,100238,L,55,73218.127612867
71,149,8,IN SERVICE,Y,100239,E,550,118792.311845899
72,149,8,IN SERVICE,Y,100240,E,554,268086.489321817
73,149,8,IN SERVICE,Y,100242,L,56,64549.2885790913
74,149,8,IN SERVICE,Y,100246,L,57,76165.9191322549
75,149,8,IN SERVICE,Y,100249,L,60,95031.2570629968
76,149,8,IN SERVICE,Y,100252,L,62,80961.6229000965
77,149,8,IN SERVICE,Y,100253,E,64,74468.0189882811
78,149,8,IN SERVICE,Y,100254,L,65,68707.4182271598
79,149,8,IN SERVICE,Y,100300,L,917,45707.1852173158
80,149,8,IN SERVICE,Y,100336,L,973,20852.8323490093
81,149,8,IN SERVICE,Y,100337,L,975,50453.0677082509
82,149,8,IN SERVICE,Y,100340,L,98,10163.8196764764
83,149,8,IN SERVICE,Y,100341,E,982,215565.778097303
84,149,8,IN SERVICE,Y,100343,E,984,71426.7621726305
85,149,8,IN SERVICE,Y,100344,E,986,157759.735978813
86,149,8,IN SERVICE,Y,100345,E,987,194281.231760704
87,149,8,IN SERVICE,Y,100346,E,988,89938.4935755652
88,149,8,IN SERVICE,Y,100347,E,989,236177.397718627
89,149,8,IN SERVICE,Y,100350,E,994,114798.259975915
90,149,8,IN SERVICE,Y,100447,L,49,52185.5404593165
91,149,8,IN SERVICE,Y,100451,E,556,209458.697897417
92,149,8,IN SERVICE,Y,100459,L,218,198510.312648963
93,149,8,IN SERVICE,Y,100473,E,981,139267.261667633
94,149,8,IN SERVICE,Y,100479,L,599,257591.098579301
95,149,8,IN SERVICE,Y,100481,L,775,27727.6457775421
96,149,8,IN SERVICE,Y,100487,L,102,192440.021147247
97,149,8,IN SERVICE,Y,100489,L,156,91633.6288964
98,149,8,IN SERVICE,Y,100495,E,193,256600.656629804
99,149,8,IN SERVICE,Y,100496,L,930,52616.614801504
100,149,8,IN SERVICE,Y,100511,E,542,137200.174587446
101,149,8,IN SERVICE,Y,100512,L,671,114889.559828374
102,149,8,IN SERVICE,Y,102548,L,672,76498.9755017794
103,149,8,IN SERVICE,Y,102552,L,226,92044.4108162406
104,149,8,IN SERVICE,Y,102554,L,241,57111.2178292076
105,149,8,IN SERVICE,Y,100259,L,67,54328.7212007435
106,149,8,IN SERVICE,Y,100263,L,7,77514.6276947203
107,149,8,IN SERVICE,Y,100264,L,70,44142.6377719955
108,149,8,IN SERVICE,Y,100267,L,73,61239.5582171009
109,149,8,IN SERVICE,Y,100269,L,75,82685.1245974189
110,149,8,IN SERVICE,Y,100272,L,773,36269.1189097176
111,149,8,IN SERVICE,Y,100275,L,8,50836.5843285696
112,149,8,IN SERVICE,Y,100289,E,9,59306.3226280388
113,149,8,IN SERVICE,Y,100290,L,901,35004.8424755297
114,149,8,IN SERVICE,Y,100292,L,903,44868.9488480257
115,149,8,IN SERVICE,Y,100297,L,914,90457.0718445517
116,149,8,IN SERVICE,Y,100111,L,22,62910.3634744669
117,149,8,IN SERVICE,Y,100113,L,221,129623.684593041
118,149,8,IN SERVICE,Y,100124,L,232,171183.334730753
119,149,8,IN SERVICE,Y,100129,L,237,127585.846813011
120,149,8,IN SERVICE,Y,100132,L,24,80897.5966211302
121,149,8,IN SERVICE,Y,100133,L,240,123537.808816944
122,149,8,IN SERVICE,Y,100136,L,245,123442.296050413
123,149,8,IN SERVICE,Y,100137,L,246,86138.6431565911
124,149,8,IN SERVICE,Y,100139,L,249,125360.163384569
125,149,8,IN SERVICE,Y,100146,L,255,124013.641727385
126,149,8,IN SERVICE,Y,100148,L,257,212289.884917007
127,149,8,IN SERVICE,Y,100159,L,268,193079.749373236
128,149,8,IN SERVICE,Y,100160,L,269,157108.669113366
129,149,8,IN SERVICE,Y,100161,L,27,35475.6424994856
130,149,8,IN SERVICE,Y,100162,L,271,191822.427388317
131,149,8,IN SERVICE,Y,100169,E,28,103316.376209393
132,149,8,IN SERVICE,Y,100173,L,3,55976.1837327372
133,149,8,IN SERVICE,Y,102555,L,893,44655.196303168
134,149,8,IN SERVICE,Y,102557,L,915,114650.557164459
135,149,8,IN SERVICE,Y,102561,L,907,119978.507911197
136,149,8,IN SERVICE,Y,102572,L,29,65950.508726191
137,149,8,IN SERVICE,Y,102574,L,40,98327.8892548327
138,149,8,IN SERVICE,Y,102576,L,673,93365.499736006
139,149,8,IN SERVICE,Y,102581,L,674,69259.8913487509
140,149,8,IN SERVICE,Y,102593,L,906,81418.4267229573
141,149,8,IN SERVICE,Y,102615,L,675,127477.823899729
142,149,8,IN SERVICE,Y,102619,L,676,86726.004671859
143,149,8,IN SERVICE,Y,102628,E,895,76240.3891596762
144,149,8,IN SERVICE,Y,102634,L,630,87985.9470484334
145,149,8,IN SERVICE,Y,102636,L,631,19597.7659745185
146,149,9,CURRENT,N,100001,L,1,41571.6332333384
147,149,9,CURRENT,N,100002,L,10,22996.2174466008
148,149,9,CURRENT,N,100003,L,101,128201.168296967
149,149,9,CURRENT,N,100004,L,105,35634.7866469424
150,149,9,CURRENT,N,100005,L,106,100872.815728306
151,149,9,CURRENT,N,100006,L,107,112173.783621714
152,149,9,CURRENT,N,100009,L,11,40616.1131899993
153,149,9,CURRENT,N,100011,L,111,239070.878814145
154,149,9,CURRENT,N,100012,L,113,89482.3659712657
155,149,9,CURRENT,N,100013,L,114,170833.623015622
156,149,9,CURRENT,N,100016,L,118,105731.198376036
157,149,9,CURRENT,N,100017,L,119,92710.2842192629
158,149,9,CURRENT,N,100018,L,12,24605.0488407658
159,149,9,CURRENT,N,100019,L,120,105886.385629369
160,149,9,CURRENT,N,100020,L,121,106549.243470586
161,149,9,CURRENT,N,100023,L,124,122918.818369963
162,149,9,CURRENT,N,100024,L,125,74937.6089132717
163,149,9,CURRENT,N,100026,L,128,144844.606678056
164,149,9,CURRENT,N,100028,L,13,41053.4584225174
165,149,9,CURRENT,N,100030,L,131,110789.819941723
166,149,9,CURRENT,N,100031,L,132,119598.329668797
167,149,9,CURRENT,N,100039,L,14,43034.5088197027
168,149,9,CURRENT,N,100042,L,148,57156.3240219277
169,149,9,CURRENT,N,100044,E,15,57315.3086836158
170,149,8,IN SERVICE,Y,102638,L,96,15975.1690936256
171,149,8,IN SERVICE,Y,102647,L,635,25729.6462092899
172,149,8,IN SERVICE,Y,102652,L,204,41992.8018868252
173,149,8,IN SERVICE,Y,102653,L,224,78621.4645828792
174,149,8,IN SERVICE,Y,102698,L,627,86500.2984195333
175,149,8,IN SERVICE,Y,102699,L,629,155177.325302085
176,149,8,IN SERVICE,Y,102701,L,225,121138.646862867
177,149,8,IN SERVICE,Y,102702,L,239,77870.4053185209
178,149,8,IN SERVICE,Y,102703,L,231,66561.7398474135
179,149,8,IN SERVICE,Y,102704,L,250,102338.72353112
180,149,8,IN SERVICE,Y,102705,L,230,69649.8891587809
181,149,8,IN SERVICE,Y,102715,L,162,243050.387090463
182,149,8,IN SERVICE,Y,102717,L,165,169098.436268251
183,149,8,IN SERVICE,Y,102718,L,184,30624.0727648622
184,149,8,IN SERVICE,Y,102719,L,161,88704.8416033116
185,149,8,IN SERVICE,Y,102720,L,160,137612.971507069
186,149,8,IN SERVICE,Y,102727,E,16,89028.7232141715
187,149,8,IN SERVICE,Y,102728,L,320,95149.0977491817
188,149,8,IN SERVICE,Y,102729,L,322,102870.434198795
189,149,8,IN SERVICE,Y,102730,L,20,67279.034004681
190,149,8,IN SERVICE,Y,102731,L,302,133359.603482623
191,149,8,IN SERVICE,Y,102732,L,79,65539.5994835695
192,149,9,CURRENT,N,100078,L,187,56184.0723177374
193,149,9,CURRENT,N,100082,L,190,215490.480641786
194,149,9,CURRENT,N,100089,L,2,60706.729514358
195,149,9,CURRENT,N,100099,L,208,177804.14354501
196,149,9,CURRENT,N,100101,E,21,88030.6380742324
197,149,9,CURRENT,N,100101,L,21,85230.5068572925
198,149,9,CURRENT,N,100104,L,212,142247.919861331
199,149,9,CURRENT,N,100106,L,214,190471.022647708
200,149,9,CURRENT,N,100108,L,216,287227.304469919
201,149,9,CURRENT,N,100109,L,217,171288.988425862
202,149,9,CURRENT,N,100111,L,22,62910.3634744669
203,149,9,CURRENT,N,100113,L,221,129623.684593041
204,149,9,CURRENT,N,100124,L,232,171183.334730753
205,149,9,CURRENT,N,100129,L,237,127585.846813011
206,149,9,CURRENT,N,100132,L,24,80897.5966211302
207,149,9,CURRENT,N,100133,L,240,123537.808816944
208,149,9,CURRENT,N,100136,L,245,123442.296050413
209,149,9,CURRENT,N,100137,L,246,86138.6431565911
210,149,9,CURRENT,N,100139,L,249,125360.163384569
211,149,9,CURRENT,N,100146,L,255,124013.641727385
212,149,9,CURRENT,N,100148,L,257,212289.884917007
213,149,9,CURRENT,N,100159,L,268,193079.749373236
214,149,9,CURRENT,N,100160,L,269,157108.669113366
215,149,9,CURRENT,N,100161,L,27,35475.6424994856
216,149,9,CURRENT,N,100162,L,271,191822.427388317
217,149,9,CURRENT,N,100169,E,28,103316.376209393
218,149,9,CURRENT,N,100173,L,3,55976.1837327372
219,149,9,CURRENT,N,100259,L,67,54328.7212007435
220,149,9,CURRENT,N,100263,L,7,77514.6276947203
221,149,9,CURRENT,N,100264,L,70,44142.6377719955
222,149,9,CURRENT,N,100267,L,73,61239.5582171009
223,149,9,CURRENT,N,100269,L,75,82685.1245974189
224,149,9,CURRENT,N,100272,L,773,36269.1189097176
225,149,9,CURRENT,N,100275,L,8,50836.5843285696
226,149,9,CURRENT,N,100289,E,9,59306.3226280388
227,149,9,CURRENT,N,100290,L,901,35004.8424755297
228,149,9,CURRENT,N,100292,L,903,44868.9488480257
229,149,9,CURRENT,N,100297,L,914,90457.0718445517
230,149,9,CURRENT,N,100300,L,917,45707.1852173158
231,149,9,CURRENT,N,100336,L,973,20852.8323490093
232,149,9,CURRENT,N,100337,L,975,50453.0677082509
233,149,9,CURRENT,N,100340,L,98,10163.8196764764
234,149,9,CURRENT,N,100341,E,982,215565.778097303
235,149,9,CURRENT,N,100175,L,301,64694.8306064719
236,149,9,CURRENT,N,100177,L,303,106546.588335947
237,149,9,CURRENT,N,100178,L,304,59507.7449131576
238,149,9,CURRENT,N,100184,L,31,71935.2112171267
239,149,9,CURRENT,N,100186,L,311,221455.273534242
240,149,9,CURRENT,N,100193,L,32,68275.0067077168
